OID_,gid,NAAM,PLAATS,CATEGORIE,FUNCTIE,TYPE,STAAT,RMONNUMMER,TBGCNUMMER,INFOLINK,THUMBNAIL,HFDFUNCTIE,FOTOGRAAF,FOTO_GROOT,BOUWJAAR,x,y
0,1,De Trouwe Waghter of Trouwe Wachter,Tienhoven,windmolen,poldermolen,wipmolen,bestaand,26483,00003,https://zoeken.allemolens.nl/tenbruggencatenummer/00003,https://images.memorix.nl/rce/thumb/350x350/6e74f114-3fc0-8904-6896-b44a616a2b03.jpg,poldermolen,Henk Baas (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/6e74f114-3fc0-8904-6896-b44a616a2b03.jpg,1832,134826,464911
1,2,Molen Gabrigl of Voorste Molen,Kortenhoef,windmolen,poldermolen,8-kante grondzeiler binnenkruier,bestaand,17405,00005,https://zoeken.allemolens.nl/tenbruggencatenummer/00005,https://images.memorix.nl/rce/thumb/350x350/748f1d3c-bf84-a352-c2a9-a194625f058e.jpg,poldermolen,onbekend (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/748f1d3c-bf84-a352-c2a9-a194625f058e.jpg,1635,132477,472101
2,3,Loenderveense Molen,Loenen aan de Vecht,windmolen,poldermolen,8-kante grondzeiler,bestaand,26080,00007,https://zoeken.allemolens.nl/tenbruggencatenummer/00007,https://images.memorix.nl/rce/thumb/350x350/d2333136-4ddc-4c27-1fa6-f0a014fb2096.jpg,poldermolen,Frank Terpstra (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/d2333136-4ddc-4c27-1fa6-f0a014fb2096.jpg,1652,131031,469627
3,4,De Slokop,Spaarndam,windmolen,poldermolen,8-kante grondzeiler,bestaand,19911,00012,https://zoeken.allemolens.nl/tenbruggencatenummer/00012,https://images.memorix.nl/rce/thumb/350x350/c6bbf59b-f95d-709d-3350-5da3e7f9e8f3.jpg,poldermolen,Frank Terpstra (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/c6bbf59b-f95d-709d-3350-5da3e7f9e8f3.jpg,1877,106932,491280
4,5,Westveense Molen,Woerdense Verlaat,windmolen,poldermolen,wipmolen,bestaand,39003,00021,https://zoeken.allemolens.nl/tenbruggencatenummer/00021,https://images.memorix.nl/rce/thumb/350x350/f630b09a-55d9-c9e8-aab0-c4522db50702.jpg,poldermolen,Nico Naaktgeboren (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/f630b09a-55d9-c9e8-aab0-c4522db50702.jpg,1676,119308,463645
5,6,Kockengense Molen,Kockengen,windmolen,poldermolen,wipmolen,bestaand,23710,00023,https://zoeken.allemolens.nl/tenbruggencatenummer/00023,https://images.memorix.nl/rce/thumb/350x350/e605c5f1-17e9-df16-9461-69d40cd2b8be.jpg,poldermolen,Jan van Galen (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/e605c5f1-17e9-df16-9461-69d40cd2b8be.jpg,1675,124865,461710
6,7,Spengense Molen,Kockengen,windmolen,poldermolen,wipmolen,bestaand,23720,00024,https://zoeken.allemolens.nl/tenbruggencatenummer/00024,https://images.memorix.nl/rce/thumb/350x350/690de6bf-76d7-4096-6850-1c4fb93ff6aa.jpg,poldermolen,Jan van Galen (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/690de6bf-76d7-4096-6850-1c4fb93ff6aa.jpg,1841,124067,463729
7,8,Kortrijkse Molen,Breukelen,windmolen,poldermolen,wipmolen,bestaand,10625,00026,https://zoeken.allemolens.nl/tenbruggencatenummer/00026,https://images.memorix.nl/rce/thumb/350x350/c2f443b2-ca14-a219-f073-85913491c617.jpg,poldermolen,Otto Brinkkemper (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/c2f443b2-ca14-a219-f073-85913491c617.jpg,1675,127775,464719
8,9,De Woudaap,Krommeniedijk,windmolen,poldermolen,8-kante grondzeiler binnenkruier,bestaand,35858,00028,https://zoeken.allemolens.nl/tenbruggencatenummer/00028,https://images.memorix.nl/rce/thumb/350x350/e61b5ecc-5300-c579-3ccb-94c1299237cc.jpg,poldermolen,Nico Naaktgeboren (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/e61b5ecc-5300-c579-3ccb-94c1299237cc.jpg,1651,113425,503689
9,10,De Tweede Broekermolen,Uitgeest,windmolen,poldermolen,8-kante grondzeiler binnenkruier,bestaand,35852,00029,https://zoeken.allemolens.nl/tenbruggencatenummer/00029,https://images.memorix.nl/rce/thumb/350x350/41294b34-b405-1639-d8af-c9424fc21171.jpg,poldermolen,Edwin Raap (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/41294b34-b405-1639-d8af-c9424fc21171.jpg,1631,110146,504479
10,11,De Dog,Uitgeest,windmolen,poldermolen,8-kante grondzeiler,bestaand,35854,00032,https://zoeken.allemolens.nl/tenbruggencatenummer/00032,https://images.memorix.nl/rce/thumb/350x350/d467c692-6690-0abb-0e59-5147a12d834e.jpg,poldermolen,Frank Terpstra (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/d467c692-6690-0abb-0e59-5147a12d834e.jpg,1896,109367,505635
11,12,De Dorregeester Molen,Uitgeest / Dorregeest,windmolen,poldermolen,8-kante grondzeiler,bestaand,35851,00033,https://zoeken.allemolens.nl/tenbruggencatenummer/00033,https://images.memorix.nl/rce/thumb/350x350/26fff132-849e-3c78-6041-8b6cd5b9ce45.jpg,poldermolen,Bert Booden (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/26fff132-849e-3c78-6041-8b6cd5b9ce45.jpg,1896,110428,506612
12,13,De Noordermolen,Akersloot,windmolen,poldermolen,8-kante grondzeiler,bestaand,7089,00037,https://zoeken.allemolens.nl/tenbruggencatenummer/00037,https://images.memorix.nl/rce/thumb/350x350/c392dae2-b4fb-222c-4f34-ef7b858189f5.jpg,poldermolen,Frank Terpstra (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/c392dae2-b4fb-222c-4f34-ef7b858189f5.jpg,1589,111147,510366
13,14,De Groot / Molen van Piet,Alkmaar,windmolen,korenmolen,ronde stenen stellingmolen,bestaand,7460,00039,https://zoeken.allemolens.nl/tenbruggencatenummer/00039,https://images.memorix.nl/rce/thumb/350x350/1eab3357-d0f3-ec7a-a2a6-1cb28757280f.jpg,korenmolen,Nico Naaktgeboren (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/1eab3357-d0f3-ec7a-a2a6-1cb28757280f.jpg,1769,111297,516024
14,15,Molen van Polder Breeveld / Breeveldse Molen,Woerden,windmolen,poldermolen,8-kante grondzeiler,restant,527505,00041,https://zoeken.allemolens.nl/tenbruggencatenummer/00041,https://images.memorix.nl/rce/thumb/350x350/aaa1dccf-e64b-2467-35d9-c94fd8744a7e.jpg,poldermolen,Otto Brinkkemper (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/aaa1dccf-e64b-2467-35d9-c94fd8744a7e.jpg,1864,122676,456338
15,16,De Windhond,Woerden,windmolen,korenmolen,ronde stenen stellingmolen,bestaand,39309,00042,https://zoeken.allemolens.nl/tenbruggencatenummer/00042,https://images.memorix.nl/rce/thumb/350x350/b891e26c-2b19-18b4-7bf0-8c2748b33444.jpg,korenmolen,Otto Brinkkemper (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/b891e26c-2b19-18b4-7bf0-8c2748b33444.jpg,1755,120461,455242
