FID,gid,NAAM,PLAATS,CATEGORIE,FUNCTIE,TYPE,STAAT,RMONNUMMER,TBGCNUMMER,INFOLINK,THUMBNAIL,HFDFUNCTIE,the_geom,FOTOGRAAF,FOTO_GROOT,BOUWJAAR
Molens.1,1,De Trouwe Waghter of Trouwe Wachter,Tienhoven,windmolen,poldermolen,wipmolen,bestaand,26483,00003,https://zoeken.allemolens.nl/tenbruggencatenummer/00003,https://images.memorix.nl/rce/thumb/350x350/6e74f114-3fc0-8904-6896-b44a616a2b03.jpg,poldermolen,POINT (134826.00000018612 464910.99999808124),Henk Baas (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/6e74f114-3fc0-8904-6896-b44a616a2b03.jpg,1832
Molens.2,2,Molen Gabriël of Voorste Molen,Kortenhoef,windmolen,poldermolen,8-kante grondzeiler binnenkruier,bestaand,17405,00005,https://zoeken.allemolens.nl/tenbruggencatenummer/00005,https://images.memorix.nl/rce/thumb/350x350/748f1d3c-bf84-a352-c2a9-a194625f058e.jpg,poldermolen,POINT (132477.0000000176 472100.9999992471),onbekend (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/748f1d3c-bf84-a352-c2a9-a194625f058e.jpg,1635
Molens.3,3,Loenderveense Molen,Loenen aan de Vecht,windmolen,poldermolen,8-kante grondzeiler,bestaand,26080,00007,https://zoeken.allemolens.nl/tenbruggencatenummer/00007,https://images.memorix.nl/rce/thumb/350x350/d2333136-4ddc-4c27-1fa6-f0a014fb2096.jpg,poldermolen,POINT (131031.00000019868 469626.99999634206),Frank Terpstra (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/d2333136-4ddc-4c27-1fa6-f0a014fb2096.jpg,1652
Molens.4,4,De Slokop,Spaarndam,windmolen,poldermolen,8-kante grondzeiler,bestaand,19911,00012,https://zoeken.allemolens.nl/tenbruggencatenummer/00012,https://images.memorix.nl/rce/thumb/350x350/c6bbf59b-f95d-709d-3350-5da3e7f9e8f3.jpg,poldermolen,POINT (106932.00000008194 491279.9999970939),Frank Terpstra (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/c6bbf59b-f95d-709d-3350-5da3e7f9e8f3.jpg,1877
Molens.5,5,Westveense Molen,Woerdense Verlaat,windmolen,poldermolen,wipmolen,bestaand,39003,00021,https://zoeken.allemolens.nl/tenbruggencatenummer/00021,https://images.memorix.nl/rce/thumb/350x350/f630b09a-55d9-c9e8-aab0-c4522db50702.jpg,poldermolen,POINT (119307.9999997232 463644.9999947366),Nico Naaktgeboren (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/f630b09a-55d9-c9e8-aab0-c4522db50702.jpg,1676
Molens.6,6,Kockengense Molen,Kockengen,windmolen,poldermolen,wipmolen,bestaand,23710,00023,https://zoeken.allemolens.nl/tenbruggencatenummer/00023,https://images.memorix.nl/rce/thumb/350x350/e605c5f1-17e9-df16-9461-69d40cd2b8be.jpg,poldermolen,POINT (124865.00000020799 461709.99999482045),Jan van Galen (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/e605c5f1-17e9-df16-9461-69d40cd2b8be.jpg,1675
Molens.7,7,Spengense Molen,Kockengen,windmolen,poldermolen,wipmolen,bestaand,23720,00024,https://zoeken.allemolens.nl/tenbruggencatenummer/00024,https://images.memorix.nl/rce/thumb/350x350/690de6bf-76d7-4096-6850-1c4fb93ff6aa.jpg,poldermolen,POINT (124066.99999974587 463729.0000023652),Jan van Galen (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/690de6bf-76d7-4096-6850-1c4fb93ff6aa.jpg,1841
Molens.8,8,Kortrijkse Molen,Breukelen,windmolen,poldermolen,wipmolen,bestaand,10625,00026,https://zoeken.allemolens.nl/tenbruggencatenummer/00026,https://images.memorix.nl/rce/thumb/350x350/c2f443b2-ca14-a219-f073-85913491c617.jpg,poldermolen,POINT (127774.99999969173 464718.9999949238),Otto Brinkkemper (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/c2f443b2-ca14-a219-f073-85913491c617.jpg,1675
Molens.9,9,De Woudaap,Krommeniedijk,windmolen,poldermolen,8-kante grondzeiler binnenkruier,bestaand,35858,00028,https://zoeken.allemolens.nl/tenbruggencatenummer/00028,https://images.memorix.nl/rce/thumb/350x350/e61b5ecc-5300-c579-3ccb-94c1299237cc.jpg,poldermolen,POINT (113425.00000025131 503689.0000046832),Nico Naaktgeboren (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/e61b5ecc-5300-c579-3ccb-94c1299237cc.jpg,1651
Molens.10,10,De Tweede Broekermolen,Uitgeest,windmolen,poldermolen,8-kante grondzeiler binnenkruier,bestaand,35852,00029,https://zoeken.allemolens.nl/tenbruggencatenummer/00029,https://images.memorix.nl/rce/thumb/350x350/41294b34-b405-1639-d8af-c9424fc21171.jpg,poldermolen,POINT (110146.00000019584 504479.0000015516),Edwin Raap (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/41294b34-b405-1639-d8af-c9424fc21171.jpg,1631
Molens.11,11,De Dog,Uitgeest,windmolen,poldermolen,8-kante grondzeiler,bestaand,35854,00032,https://zoeken.allemolens.nl/tenbruggencatenummer/00032,https://images.memorix.nl/rce/thumb/350x350/d467c692-6690-0abb-0e59-5147a12d834e.jpg,poldermolen,POINT (109366.99999987835 505635.0000029355),Frank Terpstra (beeldbank RCE),https://images.memorix.nl/rce/thumb/fullsize/d467c692-6690-0abb-0e59-5147a12d834e.jpg,1896
