OID_,ogc_fid,molen_dbnr,ten_brugge,molen_naam,bouwjaar_1,bouwjaar_2,verdwenen1,verdwenen2,status,type,functie,aandrijvin,infolink,hoofdcat,x,y
0,1,1053,1,Mijndensche Molen,1733, ,1923, ,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00001,poldermolen,129588,467511
1,2,1035,2,De Oudstrijder,1669, ,1937, ,verdwenen,wipmolen,korenmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00002,industriemolen,133635,464955
2,3,5765,4,Achterafse Polder,1832, ,1930, ,verdwenen,wipmolen,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00004,poldermolen,134948,465414
3,4,4558,6,"Polder Kortenhoef, Middelste molen",1704, ,1942, ,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00006,poldermolen,132913,472197
4,5,1718,8,Molen van Faas/ De Dommekracht,1858, ,1936, ,verdwenen,stellingmolen,"zaagmolen, korenmolen",windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00008,industriemolen,111948,487987
5,6,5847,9,Rottepolder (2e),1832, ,1923, ,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00009,poldermolen,108500,488751
6,7,1715,10,De Liedemolen/ De Lie,1556, ,1927, ,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00010,poldermolen,107498,489199
7,8,344,11,"Veerpolder, De Veermolen",1701, ,1998, ,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00011,poldermolen,106404,489430
8,9,1564,14,"Kalslagerpolder, De Moordmolen/ Kalslagermolen",1639, ,1927, ,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00014,poldermolen,111116,469892
9,10,1079,15,Buitendijkse Oosterpolder,1800, ,1925, ,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00015,poldermolen,111330,469222
10,11,1080,16,Buitendijkse Westerpolder/ Oude Wester Polder,1849, ,1927, ,verdwenen,wipmolen,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00016,poldermolen,110810,468029
11,12,8587,17,De Afdamming/ Geerpolder,1892, ,1924, ,verdwenen,wipmolen,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00017,poldermolen,110030,467598
12,13,1342,18,De Fortuin,1800, ,1935, ,verdwenen,stellingmolen,korenmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00018,industriemolen,112311,468318
13,14,392,20,"De Ronde Veenen, Wilnissermolen (2e)",1817, ,1925, ,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00020,poldermolen,119459,465173
14,15,1068,22,"De Ronde Veenen, Oudhuizermolen",1782, ,1925, ,verdwenen,wipmolen,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00022,poldermolen,120778,464153
15,16,526,25,Polder Portengen-Zuidzijde,1650,of eerder,1926, ,verdwenen,wipmolen,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00025,poldermolen,125302,463445
16,17,1034,27,Polder Otterspoorbroek,1492, ,1927, ,verdwenen,wipmolen,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00027,poldermolen,128316,464401
17,18,2022,30,"Uitgeester- en Heemskerkerbroek, De Eerste Broekermolen (2e)",1857, ,1930, ,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00030,poldermolen,109995,504548
18,19,2370,31,"Polder De Zien, De Kat",1889, ,1971, ,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00031,poldermolen,109396,505291
19,20,1651,34,"Hempolder, De Stemmer",1680,voor,1929, ,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00034,poldermolen,110860,506947
20,21,1649,35,Binnengeesterpolder,1832, ,1928, ,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00035,poldermolen,110971,508808
21,22,3956,36,De Oude Knegt,1817, ,1925, ,verdwenen,grondzeiler,korenmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00036,industriemolen,111076,509031
22,23,1654,38,"Zwartedijkspolder, het Zwarte Molentje",1832,voor,1931, ,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00038,poldermolen,111802,510533
23,24,519,40,De Haarmolen/ De Haar/ Haer Core Mole,1615,"of eerder; 1674 verwoest, ca. 1680 herbouwd",1910, ,verdwenen,wipmolen,korenmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00040,industriemolen,126780,458792
24,25,1070,43,De Zwaluw,1880, ,1928, ,verdwenen,stellingmolen,zaagmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00043,industriemolen,121193,455028
25,26,2369,44,Polder Rietveld,1709, ,1927, ,verdwenen,wipmolen,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00044,poldermolen,117430,455817
26,27,2078,47,Dam- of Binnenpolder/ Dammolen,1672, ,1927, ,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00047,poldermolen,109709,456126
27,28,2076,48,De Palmboom,1871, ,1927, ,verdwenen,stellingmolen,zaagmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00048,industriemolen,110041,457624
28,29,5497,57,"Hoogewaardsche Polder, Hogewaardsemolen",1687, ,1924, ,verdwenen,wipmolen,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00057,poldermolen,102136,461131
29,30,8112,58,"Hoornsche Polder, De Hoornsemolen",0,onbekend,1929, ,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00058,poldermolen,102632,460214
30,31,1964,59,Oostbuurtpolder of Oostbuursterpolder,1832, ,1960, ,verdwenen,wipmolen,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00059,poldermolen,101407,459749
31,32,1895,63,"Bent- en Delf of Generale polder, Langelandse Molen",1761, ,1939, ,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00063,poldermolen,97713,460455
32,33,537,65,De Steenenmolen/ Molen Rembrandt (2e),1856,herbouwd,1921, ,verdwenen,stellingmolen,korenmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00065,industriemolen,99764,460280
33,34,1434,66,Meerburgermolen,1684, ,2007, ,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00066,poldermolen,95274,461849
34,35,5959,67,"Kalkpolder, Kalkmolen",1685, ,2006, ,verdwenen,wipmolen,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00067,poldermolen,96754,462646
35,36,514,68,De Stier,1687, ,1931, ,verdwenen,stellingmolen,korenmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00068,industriemolen,94281,464276
36,37,2598,70,Stadsmolen Nr. 1 (3e),1856, ,1979, ,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00070,poldermolen,94159,465301
37,38,1546,72,Polder Het Bonte Kriel/ De Bonte Kriel,1796, ,1924, ,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00072,poldermolen,97055,471678
38,39,8877,73,Beekpolder,1901, ,1929, ,verdwenen,wipmolen,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00073,poldermolen,96284,472474
39,40,2250,74,De Rode Molen/De Roode Molen,1832, ,1930, ,verdwenen,wipmolen,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00074,poldermolen,93685,469717
40,41,3649,75,Polder Warmonderdam/ Warmonderdam en Alkemaderpolder,1647, ,1955, ,verdwenen,wipmolen,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00075,poldermolen,94598,469474
41,42,669,76,"Klinkenbergerpolder, Klinkenbergermolen (3e)",1809, ,1938, ,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00076,poldermolen,93872,468658
42,43,2517,77,"Elsgeestpolder, Zelden van Passe",1690, ,1936, ,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00077,poldermolen,93061,469062
43,44,2721,78,"Polder Kamphuizen, Hoop Doet Leven",1774, ,1999, ,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00078,poldermolen,91700,467640
44,45,2840,79,"Ommedijksepolder, Pijzelmolen/Peijzer watermolen",1708, ,1934, ,verdwenen,wipmolen,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00079,poldermolen,89583,463794
45,46,578,81,"Papenwegsepolder, Papemolen/ Papenwegsemolen",1738, ,1950, ,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00081,poldermolen,90393,461537
46,47,1431,82,Zuidwijksemolen (1e),1700, ,1972, ,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00082,poldermolen,89465,461830
47,48,2523,83,"Oostdorper- en Huis ter Weerpolder, Oostdorpermolen",1718, ,1940, ,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00083,poldermolen,88002,462618
48,49,1072,87,Wijkerbroekspolder,1848, ,1924, ,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00087,poldermolen,147640,443235
49,50,857,89,De Klomp/ 't Klompje,1855, ,1956, ,verdwenen,stellingmolen,korenmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00089,industriemolen,143530,454880
50,51,17085,90,(weidemolen),1910, ,1924, ,verdwenen,weidemolen,weidemolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00090,industriemolen,159704,472189
51,52,2129,93,Windlust/ Molen van Looyen,1880, ,1945, ,verdwenen,stellingmolen,"korenmolen, boekweitmolen",windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00093,industriemolen,170427,466359
52,53,828,94,Puurveense molen (2e),1857, ,1964, ,verdwenen,stellingmolen,korenmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00094,industriemolen,173998,462253
53,54,350,96,Molen Royaards,1417,"-1429; 1482 verbrand, 1483 herbouwd",1945, ,verdwenen,standerdmolen,korenmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00096,industriemolen,161577,454483
54,55,773,100,Molen van Oskam,1856, ,1935, ,verdwenen,stellingmolen,"korenmolen, runmolen",windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00100,industriemolen,111605,446080
55,56,810,103,De Korenbloem/ De Koornboem/ Het Verlorenkost,1751, ,1926, ,verdwenen,stellingmolen,korenmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00103,industriemolen,108075,447047
56,57,849,105,De Vier Winden,1829, ,1926, ,verdwenen,stellingmolen,korenmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00105,industriemolen,169585,474684
57,58,1036,106,De Hoop,1899, ,1932, ,verdwenen,stellingmolen,korenmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00106,industriemolen,154165,472972
58,59,1033,109,Polder Breukelen-Proosdij,1600,voor,1942, ,verdwenen,wipmolen,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00109,poldermolen,129391,466158
59,60,901,110,"Markerpolder, De Spin",1651, ,1927, ,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00110,poldermolen,113793,504534
60,61,4381,111,Bovenmolen W,1666, ,1941, ,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00111,poldermolen,121103,515155
61,62,4380,112,Bovenmolen V (vh. nr. 10),1633, ,1939, ,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00112,poldermolen,121074,514970
62,63,4379,113,Bovenmolen U (vh. nr. 11),1633, ,1936, ,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00113,poldermolen,121064,514805
63,64,4328,114,Bovenmolen I (vh. nr. 18),1633, ,1957, ,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00114,poldermolen,120808,513578
64,198,6660,340,Waardpolder,1844, ,1928, ,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00340,poldermolen,122708,535483
65,65,5632,115,Bovenmolen H (vh. nr. 19),1633, ,1936, ,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00115,poldermolen,120870,513415
66,66,4378,117,Middelmolen T (vh. nr. 12),1633, ,1936, ,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00117,poldermolen,121016,514672
67,67,4377,118,Middelmolen S (vh. nr. 14),1633, ,1931, ,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00118,poldermolen,120915,514305
68,68,4376,119,Middelmolen R (vh.  nr. 15),1633, ,1932, ,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00119,poldermolen,120875,514113
69,69,4375,120,Middelmolen Q (vh. nr. 16),1633, ,1931, ,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00120,poldermolen,120834,513965
70,70,4374,121,Middelmolen P (vh. nr. 17),1633, ,1936, ,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00121,poldermolen,120793,513785
71,71,4373,123,Ondermolen N,1638, ,1930, ,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00123,poldermolen,120687,514025
